,3,31,33
0,0.2,0.6913526031297044,0.06229571668460912
1,0.2,0.7138577292390114,0.021987124508480865
2,0.2,0.7488455467548754,0.057747424640011105
3,0.2,0.7594416559428179,0.020637611052516408
4,0.2,0.7678429002366864,0.009626842110328965
5,0.2,0.7745039212240488,0.006359861735652644
6,0.2,0.7969295618704376,0.053110694811531356
7,0.2,0.7975656079001647,0.01926185742151612
8,0.2,0.7980699041454291,0.00921864535890618
9,0.2,0.798469741092916,0.006238746599833617
10,0.2,0.8159311315834347,0.053074759013234746
11,0.2,0.8126312160676918,0.01925119499199826
